Judul,Link
Pengumuman! Bandara Halim Tak Jadi Tutup 1 Januari,https://finance.detik.com/infrastruktur/d-5880648/pengumuman-bandara-halim-tak-jadi-tutup-1-januari
"Indeks Kebahagiaan DKI Turun, PKB Salahkan Anak Buah Anies",https://news.detik.com/berita/d-5879510/indeks-kebahagiaan-dki-turun-pkb-salahkan-anak-buah-anies
"Crowd Free Night, Polisi Bubarkan Kerumunan di Kawasan Sudirman",https://news.detik.com/berita/d-5879359/crowd-free-night-polisi-bubarkan-kerumunan-di-kawasan-sudirman
Hujan Deras! Jalan Tegal Parang Jaksel Banjir Setinggi 60 Cm,https://20.detik.com/detikflash/20211112-211112119/hujan-deras-jalan-tegal-parang-jaksel-banjir-setinggi-60-cm
"Crowd Free Night Jakarta, Petugas Halau Warga di Kawasan Bundaran HI",https://news.detik.com/berita/d-5879314/crowd-free-night-jakarta-petugas-halau-warga-di-kawasan-bundaran-hi
"Jelang Crowd Free Night, Begini Suasana di Kawasan Monas",https://news.detik.com/berita/d-5879224/jelang-crowd-free-night-begini-suasana-di-kawasan-monas
"6 Serba-serbi Tahun Baru di Jakarta, 'Anak Gehol' Perlu Tahu",https://travel.detik.com/travel-news/d-5878489/6-serba-serbi-tahun-baru-di-jakarta-anak-gehol-perlu-tahu
"KBT Ditutup, Dilarang Jadi Perayaan Tahun Baru",https://news.detik.com/foto-news/d-5876846/kbt-ditutup-dilarang-jadi-perayaan-tahun-baru
"KBT Ditutup, Dilarang Jadi Perayaan Tahun Baru",https://news.detik.com/foto-news/d-5876846/kbt-ditutup-dilarang-jadi-perayaan-tahun-baru
"Aksi Pasukan Biru Cegah Banjir di Kawasan Menteng, Jakarta",https://news.detik.com/foto-news/d-5875251/aksi-pasukan-biru-cegah-banjir-di-kawasan-menteng-jakarta
Anak-anak Berlatih Karate di Tenda Pengungsian,https://news.detik.com/foto-news/d-5871097/anak-anak-berlatih-karate-di-tenda-pengungsian
"Drainase Buruk, Jalanan di Halte Terintegrasi CSW Terendam",https://news.detik.com/foto-news/d-5867672/drainase-buruk-jalanan-di-halte-terintegrasi-csw-terendam
Kilas Balik Banjir Besar Jakarta-Kalimantan Selatan di Awal 2021,https://news.detik.com/foto-news/d-5864555/kilas-balik-banjir-besar-jakarta-kalimantan-selatan-di-awal-2021
Polisi Tegaskan CFN Berlaku bagi Pejalan Kaki-Pesepeda: Bukan Car Free Night,https://news.detik.com/berita/d-5878972/polisi-tegaskan-cfn-berlaku-bagi-pejalan-kaki-pesepeda-bukan-car-free-night
Catat! Ini Pengalihan Lalin Saat CFN di 11 Kawasan Jakarta Nanti Malam,https://news.detik.com/berita/d-5878950/catat-ini-pengalihan-lalin-saat-cfn-di-11-kawasan-jakarta-nanti-malam
LaNyalla Minta Warga Jatim Waspadai Hujan Besar di Pergantian Tahun,https://news.detik.com/berita/d-5878880/lanyalla-minta-warga-jatim-waspadai-hujan-besar-di-pergantian-tahun
"Polda Metro: Tak Ada Perayaan Tahun Baru, Baiknya di Rumah",https://news.detik.com/berita/d-5878421/polda-metro-tak-ada-perayaan-tahun-baru-baiknya-di-rumah
"Potensi Tsunami sampai Jakarta, Ancol Pertama Kali Diterpa Banjir Rob",https://travel.detik.com/travel-news/d-5878154/potensi-tsunami-sampai-jakarta-ancol-pertama-kali-diterpa-banjir-rob
Polda Metro Kerahkan 1.730 Personel untuk CFN Tahun Baru di Jakarta,https://news.detik.com/berita/d-5878216/polda-metro-kerahkan-1730-personel-untuk-cfn-tahun-baru-di-jakarta
Diguyur Hujan Deras Jakarta (Masih) Banjir,https://20.detik.com/detikflash/20211108-211108034/diguyur-hujan-deras-jakarta-masih-banjir
Ingat! Kafe-Bar Harus Tutup Pukul 22.00 WIB Malam Ini,https://news.detik.com/berita/d-5878018/ingat-kafe-bar-harus-tutup-pukul-2200-wib-malam-ini
4 Aturan Tahun Baru 2022 di Jakarta: Lokasi CFN hingga Jam Tutup Mal,https://news.detik.com/berita/d-5877922/4-aturan-tahun-baru-2022-di-jakarta-lokasi-cfn-hingga-jam-tutup-mal
Tiga Tempat Wisata Jakarta Terapkan Ganjil Genap Saat Tahun Baru,https://travel.detik.com/travel-news/d-5876930/tiga-tempat-wisata-jakarta-terapkan-ganjil-genap-saat-tahun-baru
Kerja Keras Penjemput Rezeki di Tengah Hantaman Banjir Rob,https://news.detik.com/foto-news/d-5802373/kerja-keras-penjemput-rezeki-di-tengah-hantaman-banjir-rob
Kerja Keras Penjemput Rezeki di Tengah Hantaman Banjir Rob,https://news.detik.com/foto-news/d-5802373/kerja-keras-penjemput-rezeki-di-tengah-hantaman-banjir-rob
13 RT di Penjaringan Jakut Terdampak Banjir Rob,https://news.detik.com/foto-news/d-5802484/13-rt-di-penjaringan-jakut-terdampak-banjir-rob
Semringah Anak-anak Pesisir di Tengah Banjir Rob,https://news.detik.com/foto-news/d-5802308/semringah-anak-anak-pesisir-di-tengah-banjir-rob
Membandingkan Era Ahok-Anies Saat Warga Kebanjiran Teriak Normalisasi,https://news.detik.com/foto-news/d-5801907/membandingkan-era-ahok-anies-saat-warga-kebanjiran-teriak-normalisasi
Duh! Bocil Asyik Main di Lokasi Banjir Kembangan Jakbar,https://news.detik.com/foto-news/d-5801659/duh-bocil-asyik-main-di-lokasi-banjir-kembangan-jakbar
Ingat! Kafe-Bar di Jakarta Harus Tutup Pukul 22.00 Saat Malam Tahun Baru,https://news.detik.com/berita/d-5876677/ingat-kafe-bar-di-jakarta-harus-tutup-pukul-2200-saat-malam-tahun-baru
Catat! Polisi Terapkan CFN di 11 Kawasan di Jakarta Saat Malam Tahun Baru,https://news.detik.com/berita/d-5876652/catat-polisi-terapkan-cfn-di-11-kawasan-di-jakarta-saat-malam-tahun-baru
Melihat Citra Satelit Lokasi Formula E Jakarta yang Bikin Legislator Kaget,https://news.detik.com/berita/d-5876645/melihat-citra-satelit-lokasi-formula-e-jakarta-yang-bikin-legislator-kaget
